Sample BF (must),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
1,red,red,"3,24","0,27697664166858","2,10861593044056","7,55693650425163","6,42819330850736",0,0,"59,4186068261503","64,9943943047583","0,528936409259085",0,"2,74231286123493","0,345814988806422","0,347462477983241","0,346638733394832","16,3707223848681","124,413001130909","3,27124927049402"
2,green,green,"3,35","0,160110849635216","2,94087144455029","4,24072285195479","6,91861297841063",0,0,"72,4874665341915","78,9577275138203","1,24955103198384",0,"5,15858949575275","0,650515699338303","0,65361480611129","0,652065252724797","14,2603181245509","151,445194048012","6,40814052773659"
23,red,red,"3,19","0,356652294576975","3,5619980250424","5,99295765812529","8,17888489030703",0,0,"69,9379770251126","77,8103368412334","0,354641097744921",0,"1,35847716559158","0,171308595913188","0,172124723226342","0,171716659569765","18,0904928680517","147,748313866346","1,71311826333651"
30,red,red,"3,41","0,179529132116831","2,14681170399344","3,80994901122936","3,8903688528927",0,0,"83,8248197902861","84,4767688398374","1,41857564786885",0,"4,74909747414312","0,5988773611782","0,601730458940642","0,600303910059421","10,0266587002323","168,301588630123","6,16767312201197"
32,red,green,"3,52","0,203311099952207","2,79161694141904",0,"1,2874549404867",0,"0,154594738249863","87,0084213504756","98,3174404763198","1,63940412113178","2,71719002111336","8,54059106351731","1,07699761204506","1,08212851141824","1,07956306173165","4,35968035098288","185,325861826795","12,8971852057624"
34,green,green,"3,38","0,176946677510966","3,53128019210981","3,80612477930636","2,10908950050483",0,0,"73,7249664296437","71,2096005701807","1,83407581802199","1,08971862303547","9,21578123864274","1,16214139201043","1,16767792289326","1,16490965745184","9,62344114943196","144,934566999824","11,5947163681825"
38,,,"3,5","0,141480045887663","2,71126045943444",0,"3,24326124490427",0,0,"83,7082119869841","87,3447744199818","2,02647175556996","2,97423499175926","11,6139349418312","1,46455673919687","1,47153400002929","1,46804536961308","6,09600175022637","171,052986406966","16,921466286872"
41,red,red,"3,43","0,191333052264459","3,23487358239313","2,99519754059245","3,30968276158581",0,0,"73,6294808852702","77,8709197176167","1,02258930349587","0,987351273084096","5,94418354179056","0,74958178332794","0,753152848536638","0,751367315932289","9,73108693683585","151,500400602887","7,46044848182848"
47,red,red,"3,43","0,194400766904908","4,00103967619429","3,43807545993358","9,6635536058405",0,0,"78,8123449710126","87,7125891668508","0,34093578631538",0,"2,06351161579572","0,260215840579536","0,261455528837327","0,260835684708431","17,2970695088733","166,524934137863","2,4044474021111"
55,green,green,"3,2","0,218911604730364","2,95750669937245","3,16226126460611","2,35446762711564",0,0,"79,0296172423754","81,141578348222","0,681954975780756",0,"2,96631392581058","0,374062285726429","0,37584434719611","0,37495331646127","8,69314719582456","160,171195590597","3,64826890159134"
58,red,green,"3,11","0,226323170595437","3,1465371238536","3,74064717136472","11,2249299763901",0,0,"70,3800505287429","74,9167569768729","0,21216277423907",0,"1,0111380742728","0,127507953880555","0,128115411569713","0,127811682725134","18,3384374422039","145,296807505616","1,22330084851187"
60,red,red,"3,32","0,258255888180763","4,84344890477272","4,19897225190533","3,97748002560881",0,0,"91,526622222917","96,0014783883067","1,04051998440268","6,62692750827576","5,9283581318046","0,747586145246482","0,751147703082028","0,749366924164255","13,2781570704676","187,528100611224","10,2823418703452"
62,red,green,"3,49","0,241431257815943","1,76781013917052","3,77560316896383","1,10772260343157",0,0,"85,3502897110805","88,0057010732803","0,932414464524914",0,"5,0020330163294","0,630773394240781","0,633778447155415","0,632275920698098","6,89256716938185","173,355990784361","5,93444748085431"
63,red,green,"3,33","0,204181692262714","3,46619540161788","3,42321955410792","2,14375688594306","0,600276671641411",0,"39,6097058095442","41,69057840598","4,00278454162851",0,"43,7036467428904","5,5111786561022","5,53743433466251","5,52430649538236","9,53749186975228","81,3002842155241","47,7064312845189"
68,red,red,"3,45","0,271701924343554","2,52020542670426","4,33994751215817","2,82320544778935",0,0,"64,1410074241274","69,761773139068","0,949116432753083","4,18419578798189","7,54326128649774","0,951230931462515","0,955762668706318","0,953496800084416","9,95506031099534","133,902780563195","12,6765735072327"
71,red,red,"3,55","0,333523261110878","3,86613744905416","5,82436785466126","4,68043472180078",0,0,"86,3374020449717","86,7813363896968","0,975454906004863",0,"6,06047128481729","0,764246063659179","0,767886990626082","0,76606652714263","14,7044632866271","173,118738434669","7,03592619082215"
74,red,red,"3,57","0,391808931524063","3,73430119852845","5,90190248869676","4,228416124688",0,0,"84,3348484551908","88,7182993032928","0,937227082469594",0,"5,56909784076562","0,702282199339927","0,705627925696318","0,703955062518122","14,2564287434373","173,053147758484","6,50632492323521"
82,green,green,"3,5","0,19011537664349","1,49104526041957","4,89233916003438","3,09897981007261",0,"0,14337595608817","75,3717730722508","80,2789881786544","1,32725856581484",0,"5,50452195736797","0,694138960576036","0,697445891917284","0,69579242624666","9,74416758521413","155,650761250905","6,83178052318281"
85,green,green,"3,01","0,322825785123146","4,88165943174296","5,66952560101989","7,57848826579238",0,0,"69,0217327879485","69,8326077011376","1,37454392467085","1,54485767293957","8,86096974266225","1,11739845430798","1,12272182639783","1,1200601403529","18,4524990836784","138,854340489086","11,7803713402727"
86,red,red,"3,37","0,269558398636444","4,50976438546891","4,369092421511","2,58921651865678","0,421004295916838",0,0,"0,553370645240791","7,5003722018252",0,"71,1547001141317","8,97284995134069","9,01559729792353","8,99422362463211","12,15863602019","0,553370645240791","78,6550723159569"
87,red,red,"3,25","0,311646111530728","2,72601123241185","3,70293633465009","1,63475496767775",0,0,"56,0479911476776","64,3313485725825","0,242255065923257",0,"1,31607344043468","0,165961341795042","0,166751994378729","0,166356668086886","8,37534864627042","120,37933972026","1,55832850635794"
89,red,red,"3,37","0,300568691910852","3,92760281060575","3,2309939445335","2,09257418810817",0,"0,179514415769377","65,2328481100734","71,8615125120497","0,766355674565313",0,"3,00916646141433","0,379466136370029","0,381273942199373","0,380370039284701","9,73125405092764","137,094360622123","3,77552213597964"
91,red,green,"3,58","0,22425864658009","3,71935329645373",0,"1,05712702851254",0,0,"94,0927961639318","108,522325533292","1,34094272098658",0,"5,5121011620851","0,695094724096481","0,698406208768575","0,696750466432528","5,00073897154635","202,615121697224","6,85304388307168"
94,red,green,"3,5","0,164038762713321","3,36777662351874","1,67245328820271","2,00664093282016",0,0,"92,0387160150589","103,304428329343","0,297671881140792",0,"1,26449848765793","0,159457564647911","0,160217232737562","0,159837398692736","7,21090960725493","195,343144344402","1,56217036879873"
97,red,green,"3,3","0,242013506516923","2,60837346136685","2,25116619192448","1,25140748191412",0,0,"76,4860669182609","79,7241491198491","1,77631395372494",0,"3,10041451315758","0,390972826375484","0,392835450960112","0,391904138667798","6,35296064172237","156,21021603811","4,87672846688253"
100,red,green,"3,32","0,273353070191652","3,88797346475249","6,25982697389408","3,61977460949869",0,0,"68,2411460671428","70,4500728572245","2,04867767637851",0,"10,7865252688768","1,36021756227955","1,3666977432564","1,36345765276798","14,0409281183369","138,691218924367","12,8352029452554"
101,red,green,"3,3","0,199329482984151","1,20475115266165","5,5083904088519","3,26180226448906",0,0,"58,7116654156465","62,3229391363077","0,553501187810141",0,"2,47416504303618","0,312000635944033","0,313487030945743","0,312743833444888","10,1742733089868","121,034604551954","3,02766623084632"
